Modbus holding-register scan
port=COM8  slave=11  baud=9600 8N1  range=0x0000-0xFFFF  timeout=1s
started=2026-07-23 12:22:04

  ADDR(dec)   ADDR(hex)   RAW    UINT16   FLOAT32(this,next)
  0           0x0000      006D   109      1.0011051e-38
  1           0x0001      02BD   701      (paired into 0x0000)
  2           0x0002      0000   0        0
  3           0x0003      0000   0        (paired into 0x0002)
  4           0x0004      0000   0        0
  5           0x0005      0000   0        (paired into 0x0004)
  6           0x0006      0001   1        9.185e-41
  7           0x0007      000A   10       (paired into 0x0006)
  8           0x0008      0000   0        0
  9           0x0009      0000   0        (paired into 0x0008)
  10          0x000A      0000   0        1e-45
  11          0x000B      0001   1        (paired into 0x000A)
  12          0x000C      0000   0        0
  13          0x000D      0000   0        (paired into 0x000C)
  14          0x000E      0000   0        1.401e-42
  15          0x000F      03E8   1000     (paired into 0x000E)
  16          0x0010      0000   0        0
  17          0x0011      0000   0        (paired into 0x0010)
  18          0x0012      03E8   1000     1.36357345e-36
  19          0x0013      0000   0        (paired into 0x0012)
  20          0x0014      0000   0        1.401e-42
  21          0x0015      03E8   1000     (paired into 0x0014)
  22          0x0016      0000   0        0
  23          0x0017      0000   0        (paired into 0x0016)
  24          0x0018      03E8   1000     1.3635735e-36
  25          0x0019      0001   1        (paired into 0x0018)
  26          0x001A      000A   10       9.18355e-40
  27          0x001B      0000   0        (paired into 0x001A)
  28          0x001C      0000   0        0
  29          0x001D      0000   0        (paired into 0x001C)
  30          0x001E      03E8   1000     1.36357345e-36
  31          0x001F      0000   0        (paired into 0x001E)
  32          0x0020      0000   0        1.401e-42
  33          0x0021      03E8   1000     (paired into 0x0020)
  34          0x0022      0000   0        0
  35          0x0023      0000   0        (paired into 0x0022)
  36          0x0024      03E8   1000     1.36357345e-36
  37          0x0025      0000   0        (paired into 0x0024)
  38          0x0026      0000   0        1.401e-42
  39          0x0027      03E8   1000     (paired into 0x0026)
  40          0x0028      0000   0        0
  41          0x0029      0000   0        (paired into 0x0028)
  42          0x002A      0000   0        0
  43          0x002B      0000   0        (paired into 0x002A)
  44          0x002C      0003   3        2.7551e-40
  45          0x002D      0003   3        (paired into 0x002C)
  46          0x002E      000B   11       1.010235e-39
  47          0x002F      0020   32       (paired into 0x002E)
  48          0x0030      0011   17       1.561203e-39
  49          0x0031      0000   0        (paired into 0x0030)
  50          0x0032      0000   0        0
  51          0x0033      0000   0        (paired into 0x0032)
  52          0x0034      0000   0        0
  53          0x0035      0000   0        (paired into 0x0034)
  54          0x0036      0000   0        0
  55          0x0037      0000   0        (paired into 0x0036)
  1000        0x03E8      0000   0        0
  1001        0x03E9      0000   0        (paired into 0x03E8)
  1002        0x03EA      0000   0        0
  1003        0x03EB      0000   0        (paired into 0x03EA)
  1004        0x03EC      0000   0        0
  1005        0x03ED      0000   0        (paired into 0x03EC)
  1006        0x03EE      0000   0        0
  1007        0x03EF      0000   0        (paired into 0x03EE)
  2000        0x07D0      8001   32769    -1.09437e-40
  2001        0x07D1      3111   12561    (paired into 0x07D0)
  2002        0x07D2      0005   5        4.5933e-40
  2003        0x07D3      006D   109      (paired into 0x07D2)
  2004        0x07D4      0000   0        1e-45
  2005        0x07D5      0001   1        (paired into 0x07D4)
  2006        0x07D6      0000   0        0
  2007        0x07D7      0000   0        (paired into 0x07D6)
  2008        0x07D8      0000   0        0
  2009        0x07D9      0000   0        (paired into 0x07D8)
  2010        0x07DA      0000   0        0
  2011        0x07DB      0000   0        (paired into 0x07DA)
  2012        0x07DC      0000   0        0
  2013        0x07DD      0000   0        (paired into 0x07DC)
  2014        0x07DE      0000   0        0
  2015        0x07DF      0000   0        (paired into 0x07DE)
  2016        0x07E0      0000   0        0
  2017        0x07E1      0000   0        (paired into 0x07E0)
  2018        0x07E2      0000   0        0
  2019        0x07E3      0000   0        (paired into 0x07E2)
  2020        0x07E4      0000   0        0
  2021        0x07E5      0000   0        (paired into 0x07E4)
  2022        0x07E6      0000   0        0
  2023        0x07E7      0000   0        (paired into 0x07E6)
  2024        0x07E8      0000   0        0
  2025        0x07E9      0000   0        (paired into 0x07E8)
  2026        0x07EA      0000   0        1.5e-44
  2027        0x07EB      000B   11       (paired into 0x07EA)
  2028        0x07EC      0003   3        2.75506e-40
  2029        0x07ED      0000   0        (paired into 0x07EC)
  2100        0x0834      3400   13312    1.194021e-07
  2101        0x0835      3500   13568    (paired into 0x0834)
  2102        0x0836      3600   13824    1.91055e-06
  2103        0x0837      3700   14080    (paired into 0x0836)
  2104        0x0838      3800   14336    3.0570664e-05
  2105        0x0839      3900   14592    (paired into 0x0838)
  2106        0x083A      3A00   14848    0.0004891604
  2107        0x083B      3B00   15104    (paired into 0x083A)
  2108        0x083C      3C00   15360    0.0078270435
  2109        0x083D      3D00   15616    (paired into 0x083C)
  2110        0x083E      3E00   15872    0.12524033
  2111        0x083F      3F00   16128    (paired into 0x083E)
  2112        0x0840      4000   16384    2.0039673
  2113        0x0841      4100   16640    (paired into 0x0840)
  2114        0x0842      4200   16896    32.06543
  2115        0x0843      4300   17152    (paired into 0x0842)
  2116        0x0844      4400   17408    513.0781
  2117        0x0845      4500   17664    (paired into 0x0844)
  2118        0x0846      4600   17920    8209.75
  2119        0x0847      4700   18176    (paired into 0x0846)
  2120        0x0848      4800   18432    131364
  2121        0x0849      4900   18688    (paired into 0x0848)
  2122        0x084A      4A00   18944    2.101952e+06
  2123        0x084B      4B00   19200    (paired into 0x084A)
  2124        0x084C      4C00   19456    3.363328e+07
  2125        0x084D      4D00   19712    (paired into 0x084C)
  2126        0x084E      4E00   19968    5.3816525e+08
  2127        0x084F      4F00   20224    (paired into 0x084E)
  2128        0x0850      5000   20480    8.611168e+09
  2129        0x0851      5100   20736    (paired into 0x0850)
  2130        0x0852      5200   20992    1.3778708e+11
  2131        0x0853      5300   21248    (paired into 0x0852)
  2132        0x0854      5400   21504    2.2047275e+12
  2133        0x0855      5500   21760    (paired into 0x0854)
  2134        0x0856      5600   22016    3.5277788e+13
  2135        0x0857      5700   22272    (paired into 0x0856)
  2136        0x0858      5800   22528    5.6447896e+14
  2137        0x0859      5900   22784    (paired into 0x0858)
  2138        0x085A      5A00   23040    9.032213e+15
  2139        0x085B      5B00   23296    (paired into 0x085A)
  2140        0x085C      5C00   23552    1.445242e+17
  2141        0x085D      5D00   23808    (paired into 0x085C)
  2142        0x085E      5E00   24064    2.312528e+18
  2143        0x085F      5F00   24320    (paired into 0x085E)
  2144        0x0860      6000   24576    3.70027e+19
  2145        0x0861      6100   24832    (paired into 0x0860)
  2146        0x0862      6200   25088    5.9207924e+20
  2147        0x0863      6300   25344    (paired into 0x0862)
  2148        0x0864      6400   25600    9.473844e+21
  2149        0x0865      6500   25856    (paired into 0x0864)
  2150        0x0866      6600   26112    1.5159073e+23
  2151        0x0867      6700   26368    (paired into 0x0866)
  2152        0x0868      6800   26624    2.4255993e+24
  2153        0x0869      6900   26880    (paired into 0x0868)
  2154        0x086A      6A00   27136    3.881195e+25
  2155        0x086B      6B00   27392    (paired into 0x086A)
  2156        0x086C      6C00   27648    6.21029e+26
  2157        0x086D      6D00   27904    (paired into 0x086C)
  2158        0x086E      6E00   28160    9.937068e+27
  2159        0x086F      6F00   28416    (paired into 0x086E)
  2160        0x0870      7000   28672    1.5900276e+29
  2161        0x0871      7100   28928    (paired into 0x0870)
  2162        0x0872      7200   29184    2.544199e+30
  2163        0x0873      7300   29440    (paired into 0x0872)
  2164        0x0874      7400   29696    4.070966e+31
  2165        0x0875      7500   29952    (paired into 0x0874)
  2166        0x0876      7600   30208    6.5139415e+32
  2167        0x0877      7700   30464    (paired into 0x0876)
  2168        0x0878      7800   30720    1.042294e+34
  2169        0x0879      7900   30976    (paired into 0x0878)
  2170        0x087A      7A00   31232    1.6677718e+35
  2171        0x087B      7B00   31488    (paired into 0x087A)
  2172        0x087C      7C00   31744    2.6685972e+36
  2173        0x087D      7D00   32000    (paired into 0x087C)
  2174        0x087E      7E00   32256    4.270015e+37
  2175        0x087F      7F00   32512    (paired into 0x087E)
  2176        0x0880      8000   32768    -4.6276e-41
  2177        0x0881      8100   33024    (paired into 0x0880)
  2178        0x0882      8200   33280    -9.44155e-38
  2179        0x0883      8300   33536    (paired into 0x0882)
  2180        0x0884      8400   33792    -1.5107398e-36
  2181        0x0885      8500   34048    (paired into 0x0884)
  2182        0x0886      8600   34304    -2.4173307e-35
  2183        0x0887      8700   34560    (paired into 0x0886)
  2184        0x0888      8800   34816    -3.867964e-34
  2185        0x0889      8900   35072    (paired into 0x0888)
  2186        0x088A      8A00   35328    -6.189119e-33
  2187        0x088B      8B00   35584    (paired into 0x088A)
  2188        0x088C      8C00   35840    -9.903192e-32
  2189        0x088D      8D00   36096    (paired into 0x088C)
  2190        0x088E      8E00   36352    -1.584607e-30
  2191        0x088F      8F00   36608    (paired into 0x088E)
  2192        0x0890      9000   36864    -2.5355253e-29
  2193        0x0891      9100   37120    (paired into 0x0890)
  2194        0x0892      9200   37376    -4.057087e-28
  2195        0x0893      9300   37632    (paired into 0x0892)
  2196        0x0894      9400   37888    -6.4917336e-27
  2197        0x0895      9500   38144    (paired into 0x0894)
  2198        0x0896      9600   38400    -1.0387405e-25
  2199        0x0897      9700   38656    (paired into 0x0896)
  2200        0x0898      9800   38912    -1.6620858e-24
  2201        0x0899      9900   39168    (paired into 0x0898)
  2202        0x089A      9A00   39424    -2.6594988e-23
  2203        0x089B      9B00   39680    (paired into 0x089A)
  2204        0x089C      9C00   39936    -4.2554565e-22
  2205        0x089D      9D00   40192    (paired into 0x089C)
  2206        0x089E      9E00   40448    -6.809144e-21
  2207        0x089F      9F00   40704    (paired into 0x089E)
  2208        0x08A0      A000   40960    -1.0895292e-19
  2209        0x08A1      A100   41216    (paired into 0x08A0)
  2210        0x08A2      A200   41472    -1.7433526e-18
  2211        0x08A3      A300   41728    (paired into 0x08A2)
  2212        0x08A4      A400   41984    -2.7895336e-17
  2213        0x08A5      A500   42240    (paired into 0x08A4)
  2214        0x08A6      A600   42496    -4.463525e-16
  2215        0x08A7      A700   42752    (paired into 0x08A6)
  2216        0x08A8      A800   43008    -7.142073e-15
  2217        0x08A9      A900   43264    (paired into 0x08A8)
  2218        0x08AA      AA00   43520    -1.1428011e-13
  2219        0x08AB      AB00   43776    (paired into 0x08AA)
  2220        0x08AC      AC00   44032    -1.8285928e-12
  2221        0x08AD      AD00   44288    (paired into 0x08AC)
