Modbus holding-register scan
port=COM8  slave=10  baud=9600 8N1  range=0x0000-0x2200  timeout=1s
started=2026-07-23 18:50:11

  ADDR(dec)   ADDR(hex)   RAW    UINT16   FLOAT32(this,next)
  0           0x0000      0067   103      9.460038e-39
  1           0x0001      02BD   701      (paired into 0x0000)
  2           0x0002      0000   0        0
  3           0x0003      0000   0        (paired into 0x0002)
  4           0x0004      0001   1        9.1835e-41
  5           0x0005      0000   0        (paired into 0x0004)
  6           0x0006      00C8   200      1.8367113e-38
  7           0x0007      000A   10       (paired into 0x0006)
  8           0x0008      0004   4        3.67342e-40
  9           0x0009      0000   0        (paired into 0x0008)
  10          0x000A      000A   10       9.18356e-40
  11          0x000B      0001   1        (paired into 0x000A)
  12          0x000C      0004   4        3.67342e-40
  13          0x000D      0000   0        (paired into 0x000C)
  14          0x000E      0000   0        0
  15          0x000F      0000   0        (paired into 0x000E)
  16          0x0010      0000   0        0
  17          0x0011      0000   0        (paired into 0x0010)
  18          0x0012      0000   0        0
  19          0x0013      0000   0        (paired into 0x0012)
  20          0x0014      0000   0        0
  21          0x0015      0000   0        (paired into 0x0014)
  22          0x0016      0000   0        0
  23          0x0017      0000   0        (paired into 0x0016)
  24          0x0018      0000   0        0
  25          0x0019      0000   0        (paired into 0x0018)
  26          0x001A      0000   0        0
  27          0x001B      0000   0        (paired into 0x001A)
  28          0x001C      0000   0        0
  29          0x001D      0000   0        (paired into 0x001C)
  30          0x001E      0000   0        0
  31          0x001F      0000   0        (paired into 0x001E)
  32          0x0020      0000   0        0
  33          0x0021      0000   0        (paired into 0x0020)
  34          0x0022      0000   0        0
  35          0x0023      0000   0        (paired into 0x0022)
  36          0x0024      0000   0        0
  37          0x0025      0000   0        (paired into 0x0024)
  38          0x0026      0000   0        0
  39          0x0027      0000   0        (paired into 0x0026)
  40          0x0028      0000   0        0
  41          0x0029      0000   0        (paired into 0x0028)
  42          0x002A      0000   0        1.107e-42
  43          0x002B      0316   790      (paired into 0x002A)
  44          0x002C      0000   0        4e-45
  45          0x002D      0003   3        (paired into 0x002C)
  46          0x002E      000A   10       9.18355e-40
  47          0x002F      0000   0        (paired into 0x002E)
  48          0x0030      0000   0        0
  49          0x0031      0000   0        (paired into 0x0030)
  50          0x0032      0000   0        0
  51          0x0033      0000   0        (paired into 0x0032)
  52          0x0034      0000   0        2.9922e-41
  53          0x0035      5369   21353    (paired into 0x0034)
  54          0x0036      0102   258      2.3903798e-38
  55          0x0037      2508   9480     (paired into 0x0036)
  56          0x0038      0000   0        0
  57          0x0039      0000   0        (paired into 0x0038)
  58          0x003A      0000   0        0
  59          0x003B      0000   0        (paired into 0x003A)
  60          0x003C      0000   0        0
  61          0x003D      0000   0        (paired into 0x003C)
  62          0x003E      0000   0        0
  63          0x003F      0000   0        (paired into 0x003E)
  64          0x0040      0000   0        0
  65          0x0041      0000   0        (paired into 0x0040)
  66          0x0042      0000   0        4e-45
  67          0x0043      0003   3        (paired into 0x0042)
  68          0x0044      0002   2        1.8372e-40
  69          0x0045      0023   35       (paired into 0x0044)
  70          0x0046      0000   0        
  4096        0x1000      3D03   15619    0.031982422
  4097        0x1001      0000   0        (paired into 0x1000)
  4098        0x1002      0000   0        0
  4099        0x1003      0000   0        (paired into 0x1002)
  4100        0x1004      0000   0        0
  4101        0x1005      0000   0        (paired into 0x1004)
  4102        0x1006      0000   0        0
  4103        0x1007      0000   0        (paired into 0x1006)
  4104        0x1008      0000   0        2.1619e-41
  4105        0x1009      3C44   15428    (paired into 0x1008)
  4106        0x100A      3C44   15428    0.011962891
  4107        0x100B      0000   0        (paired into 0x100A)
  4108        0x100C      0000   0        0
  4109        0x100D      0000   0        (paired into 0x100C)
  4110        0x100E      0000   0        0
  4111        0x100F      0000   0        (paired into 0x100E)
  4112        0x1010      0000   0        0
  4113        0x1011      0000   0        (paired into 0x1010)
  4114        0x1012      0000   0        0
  4115        0x1013      0000   0        (paired into 0x1012)
  4116        0x1014      0000   0        0
  4117        0x1015      0000   0        (paired into 0x1014)
  4118        0x1016      0000   0        0
  4119        0x1017      0000   0        (paired into 0x1016)
  4120        0x1018      0000   0        0
  4121        0x1019      0000   0        (paired into 0x1018)
  4122        0x101A      0000   0        0
  4123        0x101B      0000   0        (paired into 0x101A)
  4124        0x101C      0000   0        2.1887e-41
  4125        0x101D      3D03   15619    (paired into 0x101C)
  4126        0x101E      3D03   15619    0.032039713
  4127        0x101F      3C13   15379    (paired into 0x101E)
  4128        0x1020      3C13   15379    0.0089865215
  4129        0x1021      3C34   15412    (paired into 0x1020)
  4130        0x1022      3C34   15412    0.011000666
  4131        0x1023      3C23   15395    (paired into 0x1022)
  4132        0x1024      3C23   15395    0.009963277
  4133        0x1025      3D03   15619    (paired into 0x1024)
  4134        0x1026      3D03   15619    0.031982422
  4135        0x1027      0000   0        (paired into 0x1026)
  4136        0x1028      0000   0        0
  4137        0x1029      0000   0        (paired into 0x1028)
  4138        0x102A      0000   0        0
  4139        0x102B      0000   0        (paired into 0x102A)
  4140        0x102C      0000   0        0
  4141        0x102D      0000   0        (paired into 0x102C)
  4142        0x102E      0000   0        0
  4143        0x102F      0000   0        (paired into 0x102E)
  4144        0x1030      0000   0        0
  4145        0x1031      0000   0        (paired into 0x1030)
  4146        0x1032      0000   0        0
  4147        0x1033      0000   0        (paired into 0x1032)
  4148        0x1034      0000   0        0
  4149        0x1035      0000   0        (paired into 0x1034)
  4150        0x1036      0000   0        0
  4151        0x1037      0000   0        (paired into 0x1036)
  4152        0x1038      0000   0        0
  4153        0x1039      0000   0        (paired into 0x1038)
  4154        0x103A      0000   0        0
  4155        0x103B      0000   0        (paired into 0x103A)
  4156        0x103C      0000   0        0
  4157        0x103D      0000   0        (paired into 0x103C)
  4158        0x103E      0000   0        0
  4159        0x103F      0000   0        (paired into 0x103E)
  4160        0x1040      0000   0        0
  4161        0x1041      0000   0        (paired into 0x1040)
  4162        0x1042      0000   0        0
  4163        0x1043      0000   0        (paired into 0x1042)
  4164        0x1044      0000   0        0
  4165        0x1045      0000   0        (paired into 0x1044)
  4166        0x1046      0000   0        0
  4167        0x1047      0000   0        (paired into 0x1046)
  4168        0x1048      0000   0        0
  4169        0x1049      0000   0        (paired into 0x1048)
  4170        0x104A      0000   0        0
  4171        0x104B      0000   0        (paired into 0x104A)
  4172        0x104C      0000   0        0
  4173        0x104D      0000   0        (paired into 0x104C)
  4174        0x104E      0000   0        2.1619e-41
  4175        0x104F      3C44   15428    (paired into 0x104E)
  4176        0x1050      3C44   15428    0.011962891
  4177        0x1051      0000   0        (paired into 0x1050)
  4178        0x1052      0000   0        0
  4179        0x1053      0000   0        (paired into 0x1052)
  4180        0x1054      0000   0        0
  4181        0x1055      0000   0        (paired into 0x1054)
  4182        0x1056      0000   0        0
  4183        0x1057      0000   0        (paired into 0x1056)
  4184        0x1058      0000   0        3.1927e-41
  4185        0x1059      5900   22784    (paired into 0x1058)
  4874        0x130A      0000   0        0
  4875        0x130B      0000   0        (paired into 0x130A)
  4876        0x130C      0000   0        0
  4877        0x130D      0000   0        (paired into 0x130C)
  4878        0x130E      0000   0        0
  4879        0x130F      0000   0        (paired into 0x130E)
  4880        0x1310      0000   0        0
  4881        0x1311      0000   0        (paired into 0x1310)
  4882        0x1312      0000   0        0
  4883        0x1313      0000   0        (paired into 0x1312)
  4884        0x1314      0000   0        0
  4885        0x1315      0000   0        (paired into 0x1314)
  4886        0x1316      0000   0        0
  4887        0x1317      0000   0        (paired into 0x1316)
  4888        0x1318      0000   0        0
  4889        0x1319      0000   0        (paired into 0x1318)
  4890        0x131A      0000   0        0
  4891        0x131B      0000   0        (paired into 0x131A)
  4892        0x131C      0000   0        0
  4893        0x131D      0000   0        (paired into 0x131C)
  4894        0x131E      0000   0        0
  4895        0x131F      0000   0        (paired into 0x131E)
  4896        0x1320      0000   0        0
  4897        0x1321      0000   0        (paired into 0x1320)
  4898        0x1322      0000   0        9.1834e-41
  4899        0x1323      FFFF   65535    (paired into 0x1322)
  4900        0x1324      FFFF   65535    NaN
  4901        0x1325      FFFF   65535    (paired into 0x1324)
  4902        0x1326      FFFF   65535    NaN
  4903        0x1327      FFFF   65535    (paired into 0x1326)
  4904        0x1328      FFFF   65535    NaN
  4905        0x1329      FFFF   65535    (paired into 0x1328)
  4906        0x132A      FFFF   65535    NaN
  4907        0x132B      0000   0        (paired into 0x132A)
  4908        0x132C      0000   0        0
  4909        0x132D      0000   0        (paired into 0x132C)
  4910        0x132E      0000   0        0
  4911        0x132F      0000   0        (paired into 0x132E)
  4912        0x1330      0000   0        0
  4913        0x1331      0000   0        (paired into 0x1330)
  4914        0x1332      0000   0        0
  4915        0x1333      0000   0        (paired into 0x1332)
  4916        0x1334      0000   0        0
  4917        0x1335      0000   0        (paired into 0x1334)
  4918        0x1336      0000   0        0
  4919        0x1337      0000   0        (paired into 0x1336)
  4920        0x1338      0000   0        0
  4921        0x1339      0000   0        (paired into 0x1338)
  4922        0x133A      0000   0        0
  4923        0x133B      0000   0        (paired into 0x133A)
  4924        0x133C      0000   0        0
  4925        0x133D      0000   0        (paired into 0x133C)
  4926        0x133E      0000   0        0
  4927        0x133F      0000   0        (paired into 0x133E)
  4928        0x1340      0000   0        0
  4929        0x1341      0000   0        (paired into 0x1340)
  4930        0x1342      0000   0        0
  4931        0x1343      0000   0        (paired into 0x1342)
  4932        0x1344      0000   0        0
  4933        0x1345      0000   0        (paired into 0x1344)
  4934        0x1346      0000   0        0
  4935        0x1347      0000   0        (paired into 0x1346)
  4936        0x1348      0000   0        0
  4937        0x1349      0000   0        (paired into 0x1348)
  4938        0x134A      0000   0        0
  4939        0x134B      0000   0        (paired into 0x134A)
  4940        0x134C      0000   0        0
  4941        0x134D      0000   0        (paired into 0x134C)
  4942        0x134E      0000   0        2.834e-41
  4943        0x134F      4F00   20224    (paired into 0x134E)
  5386        0x150A      43C4   17348    392.5294
  5387        0x150B      43C3   17347    (paired into 0x150A)
  5388        0x150C      43C3   17347    390.52942
  5389        0x150D      43C4   17348    (paired into 0x150C)
  5390        0x150E      43C4   17348    392.52646
  5391        0x150F      4363   17251    (paired into 0x150E)
  5392        0x1510      4363   17251    227.26321
  5393        0x1511      4362   17250    (paired into 0x1510)
  5394        0x1512      4362   17250    226.2632
  5395        0x1513      4361   17249    (paired into 0x1512)
  5396        0x1514      4361   17249    225.25331
  5397        0x1515      40D9   16601    (paired into 0x1514)
  5398        0x1516      40E0   16608    7.007939
  5399        0x1517      4109   16649    (paired into 0x1516)
  5400        0x1518      4109   16649    8.578369
  5401        0x1519      4100   16640    (paired into 0x1518)
  5402        0x151A      4100   16640    8.015689
  5403        0x151B      4043   16451    (paired into 0x151A)
  5404        0x151C      4041   16449    3.0194933
  5405        0x151D      3F61   16225    (paired into 0x151C)
  5406        0x151E      3F61   16225    0.8798761
  5407        0x151F      3F8F   16271    (paired into 0x151E)
  5408        0x1520      3F91   16273    1.1347506
  5409        0x1521      3F82   16258    (paired into 0x1520)
  5410        0x1522      3F85   16261    1.0449106
  5411        0x1523      BFA1   49057    (paired into 0x1522)
  5412        0x1524      BF9E   49054    -1.2401849
  5413        0x1525      BE61   48737    (paired into 0x1524)
  5414        0x1526      BE61   48737    -0.22045569
  5415        0x1527      BF23   48931    (paired into 0x1526)
  5416        0x1528      BF1E   48926    -0.62009823
  5417        0x1529      BEC2   48834    (paired into 0x1528)
  5418        0x152A      BEB8   48824    -0.3598683
  5419        0x152B      40A8   16552    (paired into 0x152A)
  5420        0x152C      40AA   16554    5.3202868
  5421        0x152D      3FCA   16330    (paired into 0x152C)
  5422        0x152E      3FCA   16330    1.5800772
  5423        0x152F      3FF8   16376    (paired into 0x152E)
  5424        0x1530      3FF8   16376    1.93945
  5425        0x1531      3FE6   16358    (paired into 0x1530)
  5426        0x1532      3FE6   16358    1.7987999
  5427        0x1533      3F13   16147    (paired into 0x1532)
  5428        0x1534      3F10   16144    0.56346214
  5429        0x1535      3F0E   16142    (paired into 0x1534)
  5430        0x1536      3F11   16145    0.5673687
  5431        0x1537      3F13   16147    (paired into 0x1536)
  5432        0x1538      3F13   16147    0.5751812
  5433        0x1539      3F13   16147    (paired into 0x1538)
  5434        0x153A      3F10   16144    0.5635314
  5435        0x153B      4398   17304    (paired into 0x153A)
  5436        0x153C      4398   17304    304.52808
  5437        0x153D      4398   17304    (paired into 0x153C)
  5438        0x153E      4398   17304    304.52808
  5439        0x153F      4398   17304    (paired into 0x153E)
  5440        0x1540      4398   17304    304
  5441        0x1541      0000   0        (paired into 0x1540)
  5442        0x1542      0000   0        0
  5443        0x1543      0000   0        (paired into 0x1542)
  5444        0x1544      0000   0        0
  5445        0x1545      0000   0        (paired into 0x1544)
  5446        0x1546      0000   0        0
  5447        0x1547      0000   0        (paired into 0x1546)
  5448        0x1548      0000   0        0
  5449        0x1549      0000   0        (paired into 0x1548)
  5450        0x154A      0000   0        0
  5451        0x154B      0000   0        (paired into 0x154A)
  5452        0x154C      0000   0        2.3776e-41
  5453        0x154D      4247   16967    (paired into 0x154C)
  5454        0x154E      4247   16967    49.82715
  5455        0x154F      4F00   20224    (paired into 0x154E)
  6144        0x1800      40CC   16588    6.375
  6145        0x1801      0000   0        (paired into 0x1800)
  6146        0x1802      0000   0        0
  6147        0x1803      0000   0        (paired into 0x1802)
  6148        0x1804      0000   0        0
  6149        0x1805      0000   0        (paired into 0x1804)
  6150        0x1806      0000   0        0
  6151        0x1807      0000   0        (paired into 0x1806)
  6152        0x1808      0000   0        2.3012e-41
  6153        0x1809      4026   16422    (paired into 0x1808)
  6154        0x180A      4026   16422    2.59375
  6155        0x180B      0000   0        (paired into 0x180A)
  6156        0x180C      0000   0        0
  6157        0x180D      0000   0        (paired into 0x180C)
  6158        0x180E      0000   0        0
  6159        0x180F      0000   0        (paired into 0x180E)
  6160        0x1810      0000   0        0
  6161        0x1811      0000   0        (paired into 0x1810)
  6162        0x1812      0000   0        0
  6163        0x1813      0000   0        (paired into 0x1812)
  6164        0x1814      0000   0        0
  6165        0x1815      0000   0        (paired into 0x1814)
  6166        0x1816      0000   0        0
  6167        0x1817      0000   0        (paired into 0x1816)
  6168        0x1818      0000   0        0
  6169        0x1819      0000   0        (paired into 0x1818)
  6170        0x181A      0000   0        0
  6171        0x181B      0000   0        (paired into 0x181A)
  6172        0x181C      0000   0        2.3245e-41
  6173        0x181D      40CC   16588    (paired into 0x181C)
  6174        0x181E      40CC   16588    6.3828
  6175        0x181F      3FE6   16358    (paired into 0x181E)
  6176        0x1820      3FE6   16358    1.7988311
  6177        0x1821      4019   16409    (paired into 0x1820)
  6178        0x1822      4019   16409    2.394534
  6179        0x1823      400C   16396    (paired into 0x1822)
  6180        0x1824      400C   16396    2.191455
  6181        0x1825      40CC   16588    (paired into 0x1824)
  6182        0x1826      40CC   16588    6.375
  6183        0x1827      0000   0        (paired into 0x1826)
  6184        0x1828      0000   0        0
  6185        0x1829      0000   0        (paired into 0x1828)
  6186        0x182A      0000   0        0
  6187        0x182B      0000   0        (paired into 0x182A)
  6188        0x182C      0000   0        0
  6189        0x182D      0000   0        (paired into 0x182C)
  6190        0x182E      0000   0        0
  6191        0x182F      0000   0        (paired into 0x182E)
  6192        0x1830      0000   0        0
  6193        0x1831      0000   0        (paired into 0x1830)
  6194        0x1832      0000   0        0
  6195        0x1833      0000   0        (paired into 0x1832)
  6196        0x1834      0000   0        0
  6197        0x1835      0000   0        (paired into 0x1834)
  6198        0x1836      0000   0        0
  6199        0x1837      0000   0        (paired into 0x1836)
  6200        0x1838      0000   0        0
  6201        0x1839      0000   0        (paired into 0x1838)
  6202        0x183A      0000   0        0
  6203        0x183B      0000   0        (paired into 0x183A)
  6204        0x183C      0000   0        0
  6205        0x183D      0000   0        (paired into 0x183C)
  6206        0x183E      0000   0        0
  6207        0x183F      0000   0        (paired into 0x183E)
  6208        0x1840      0000   0        0
  6209        0x1841      0000   0        (paired into 0x1840)
  6210        0x1842      0000   0        0
  6211        0x1843      0000   0        (paired into 0x1842)
  6212        0x1844      0000   0        0
  6213        0x1845      0000   0        (paired into 0x1844)
  6214        0x1846      0000   0        0
  6215        0x1847      0000   0        (paired into 0x1846)
  6216        0x1848      0000   0        0
  6217        0x1849      0000   0        (paired into 0x1848)
  6218        0x184A      0000   0        0
  6219        0x184B      0000   0        (paired into 0x184A)
  6220        0x184C      0000   0        0
  6221        0x184D      0000   0        (paired into 0x184C)
  6222        0x184E      0000   0        2.3012e-41
  6223        0x184F      4026   16422    (paired into 0x184E)
  6224        0x1850      4026   16422    2.59375
  6225        0x1851      0000   0        (paired into 0x1850)
  6226        0x1852      0000   0        0
  6227        0x1853      0000   0        (paired into 0x1852)
  6228        0x1854      0000   0        0
  6229        0x1855      0000   0        (paired into 0x1854)
  6230        0x1856      0000   0        0
  6231        0x1857      0000   0        (paired into 0x1856)
  6232        0x1858      0000   0        3.1927e-41
  6233        0x1859      5900   22784    (paired into 0x1858)
  6400        0x1900      0000   0        0
  6401        0x1901      0000   0        (paired into 0x1900)
  6402        0x1902      0000   0        0
  6403        0x1903      0000   0        (paired into 0x1902)
  6404        0x1904      0000   0        0
  6405        0x1905      0000   0        (paired into 0x1904)
  6406        0x1906      0000   0        0
  6407        0x1907      0000   0        (paired into 0x1906)
  6408        0x1908      0000   0        0
  6409        0x1909      0000   0        (paired into 0x1908)
  6410        0x190A      0000   0        0
  6411        0x190B      0000   0        (paired into 0x190A)
  6412        0x190C      0000   0        0
  6413        0x190D      0000   0        (paired into 0x190C)
  6414        0x190E      0000   0        0
  6415        0x190F      0000   0        (paired into 0x190E)
  6416        0x1910      0000   0        0
  6417        0x1911      0000   0        (paired into 0x1910)
  6418        0x1912      0000   0        0
  6419        0x1913      0000   0        (paired into 0x1912)
  6420        0x1914      0000   0        0
  6421        0x1915      0000   0        (paired into 0x1914)
  6422        0x1916      0000   0        0
  6423        0x1917      0000   0        (paired into 0x1916)
  6424        0x1918      0000   0        0
  6425        0x1919      0000   0        (paired into 0x1918)
  6426        0x191A      0000   0        0
  6427        0x191B      0000   0        (paired into 0x191A)
  6428        0x191C      0000   0        0
  6429        0x191D      0000   0        (paired into 0x191C)
  6430        0x191E      0000   0        0
  6431        0x191F      0000   0        (paired into 0x191E)
  6432        0x1920      0000   0        0
  6433        0x1921      0000   0        (paired into 0x1920)
  6434        0x1922      0000   0        0
  6435        0x1923      0000   0        (paired into 0x1922)
  6436        0x1924      0000   0        0
  6437        0x1925      0000   0        (paired into 0x1924)
  6438        0x1926      0000   0        0
  6439        0x1927      0000   0        (paired into 0x1926)
  6440        0x1928      0000   0        0
  6441        0x1929      0000   0        (paired into 0x1928)
  6442        0x192A      0000   0        0
  6443        0x192B      0000   0        (paired into 0x192A)
  6444        0x192C      0000   0        0
  6445        0x192D      0000   0        (paired into 0x192C)
  6446        0x192E      0000   0        0
  6447        0x192F      0000   0        (paired into 0x192E)
  6448        0x1930      0000   0        0
  6449        0x1931      0000   0        (paired into 0x1930)
  6450        0x1932      0000   0        0
  6451        0x1933      0000   0        (paired into 0x1932)
  6452        0x1934      0000   0        0
  6453        0x1935      0000   0        (paired into 0x1934)
  6454        0x1936      0000   0        0
  6455        0x1937      0000   0        (paired into 0x1936)
  6456        0x1938      0000   0        0
  6457        0x1939      0000   0        (paired into 0x1938)
  6458        0x193A      0000   0        0
  6459        0x193B      0000   0        (paired into 0x193A)
  6460        0x193C      0000   0        0
  6461        0x193D      0000   0        (paired into 0x193C)
  6462        0x193E      0000   0        0
  6463        0x193F      0000   0        (paired into 0x193E)
  6464        0x1940      0000   0        0
  6465        0x1941      0000   0        (paired into 0x1940)
  6466        0x1942      0000   0        0
  6467        0x1943      0000   0        (paired into 0x1942)
  6468        0x1944      0000   0        0
  6469        0x1945      0000   0        (paired into 0x1944)
  6470        0x1946      0000   0        0
  6471        0x1947      0000   0        (paired into 0x1946)
  6472        0x1948      0000   0        0
  6473        0x1949      0000   0        (paired into 0x1948)
  6474        0x194A      0000   0        0
  6475        0x194B      0000   0        (paired into 0x194A)
  6476        0x194C      0000   0        0
  6477        0x194D      0000   0        (paired into 0x194C)
  6478        0x194E      0000   0        0
  6479        0x194F      0000   0        (paired into 0x194E)
  6480        0x1950      0000   0        0
  6481        0x1951      0000   0        (paired into 0x1950)
  6482        0x1952      0000   0        0
  6483        0x1953      0000   0        (paired into 0x1952)
  6484        0x1954      0000   0        0
  6485        0x1955      0000   0        (paired into 0x1954)
  6486        0x1956      0000   0        0
  6487        0x1957      0000   0        (paired into 0x1956)
  6488        0x1958      0000   0        3.1927e-41
  6489        0x1959      5900   22784    (paired into 0x1958)
  8192        0x2000      4575   17781    3924.3408
  8193        0x2001      4574   17780    (paired into 0x2000)
  8194        0x2002      4574   17780    3908.3408
  8195        0x2003      4574   17780    (paired into 0x2002)
  8196        0x2004      4575   17781    3924.316
  8197        0x2005      450E   17678    (paired into 0x2004)
  8198        0x2006      450E   17678    2276.3157
  8199        0x2007      450D   17677    (paired into 0x2006)
  8200        0x2008      450D   17677    2260.3157
  8201        0x2009      450D   17677    (paired into 0x2008)
  8202        0x200A      450D   17677    2260.128
  8203        0x200B      420C   16908    (paired into 0x200A)
  8204        0x200C      4210   16912    36.064636
  8205        0x200D      4230   16944    (paired into 0x200C)
  8206        0x200E      4230   16944    44.064575
  8207        0x200F      4220   16928    (paired into 0x200E)
  8208        0x2010      4220   16928    40.065517
  8209        0x2011      4317   17175    (paired into 0x2010)
  8210        0x2012      4317   17175    151.25854
  8211        0x2013      4230   16944    (paired into 0x2012)
  8212        0x2014      4230   16944    44.064835
  8213        0x2015      4264   16996    (paired into 0x2014)
  8214        0x2016      4260   16992    56.06476
  8215        0x2017      4250   16976    (paired into 0x2016)
  8216        0x2018      4250   16976    52.189865
  8217        0x2019      C26C   49772    (paired into 0x2018)
  8218        0x201A      C278   49784    -62.18866
  8219        0x201B      C130   49456    (paired into 0x201A)
  8220        0x201C      C130   49456    -11.047363
  8221        0x201D      C200   49664    (paired into 0x201C)
  8222        0x201E      C200   49664    -32.189056
  8223        0x201F      C198   49560    (paired into 0x201E)
  8224        0x2020      C198   49560    -19.032969
  8225        0x2021      4385   17285    (paired into 0x2020)
  8226        0x2022      4386   17286    268.52057
  8227        0x2023      42A2   17058    (paired into 0x2022)
  8228        0x2024      42A2   17058    81.13042
  8229        0x2025      42C6   17094    (paired into 0x2024)
  8230        0x2026      42C6   17094    99.13028
  8231        0x2027      42B4   17076    (paired into 0x2026)
  8232        0x2028      42B4   17076    90.13291
  8233        0x2029      440D   17421    (paired into 0x2028)
  8234        0x202A      440E   17422    569.0632
  8235        0x202B      440B   17419    (paired into 0x202A)
  8236        0x202C      440B   17419    557.0633
  8237        0x202D      440D   17421    (paired into 0x202C)
  8238        0x202E      4410   17424    577.0635
  8239        0x202F      4410   17424    (paired into 0x202E)
  8240        0x2030      4410   17424    577.08185
  8241        0x2031      453D   17725    (paired into 0x2030)
  8242        0x2032      453D   17725    3028.3276
  8243        0x2033      453E   17726    (paired into 0x2032)
  8244        0x2034      453E   17726    3044.3276
  8245        0x2035      453E   17726    (paired into 0x2034)
  8246        0x2036      453E   17726    3040
  8247        0x2037      0000   0        (paired into 0x2036)
  8248        0x2038      0000   0        0
  8249        0x2039      0000   0        (paired into 0x2038)
  8250        0x203A      0000   0        0
  8251        0x203B      0000   0        (paired into 0x203A)
  8252        0x203C      0000   0        0
  8253        0x203D      0000   0        (paired into 0x203C)
  8254        0x203E      0000   0        0
  8255        0x203F      0000   0        (paired into 0x203E)
  8256        0x2040      0000   0        0
  8257        0x2041      0000   0        (paired into 0x2040)
  8258        0x2042      0000   0        2.4971e-41
  8259        0x2043      459C   17820    (paired into 0x2042)
