Modbus holding-register scan
port=COM8  slave=10  baud=9600 8N1  range=0x0-0x2100
started=2026-07-24 21:28:10

  ADDR(dec)   ADDR(hex)   RAW    UINT16   FLOAT32(this,next)
  0           0x0         0067   103      9.460038414496586e-39
  1           0x1         02BD   701      2.7771054038176542e-37
  2           0x2         0000   0        0.0
  3           0x3         0000   0        1.401298464324817e-45
  4           0x4         0001   1        9.183549615799121e-41
  5           0x5         0000   0        2.802596928649634e-43
  6           0x6         00C8   200      1.8367113244582886e-38
  7           0x7         000A   10       9.183605667737694e-40
  8           0x8         0004   4        3.6734198463196485e-40
  9           0x9         0000   0        1.401298464324817e-44
  10          0xa         000A   10       9.183563628783764e-40
  11          0xb         0001   1        9.184110135184851e-41
  12          0xc         0004   4        3.6734198463196485e-40
  13          0xd         0000   0        0.0
  14          0xe         0000   0        0.0
  15          0xf         0000   0        0.0
  16          0x10        0000   0        0.0
  17          0x11        0000   0        0.0
  18          0x12        0000   0        0.0
  19          0x13        0000   0        0.0
  20          0x14        0000   0        0.0
  21          0x15        0000   0        0.0
  22          0x16        0000   0        0.0
  23          0x17        0000   0        0.0
  24          0x18        0000   0        0.0
  25          0x19        0000   0        0.0
  26          0x1a        0000   0        0.0
  27          0x1b        0000   0        0.0
  28          0x1c        0000   0        0.0
  29          0x1d        0000   0        0.0
  30          0x1e        0000   0        0.0
  31          0x1f        0000   0        0.0
  32          0x20        0000   0        0.0
  33          0x21        0000   0        0.0
  34          0x22        0000   0        0.0
  35          0x23        0000   0        0.0
  36          0x24        0000   0        0.0
  37          0x25        0000   0        0.0
  38          0x26        0000   0        0.0
  39          0x27        0000   0        0.0
  40          0x28        0000   0        0.0
  41          0x29        0000   0        0.0
  42          0x2a        0000   0        1.1070257868166055e-42
  43          0x2b        0316   790      4.408103815583578e-37
  44          0x2c        0000   0        4.203895392974451e-45
  45          0x2d        0003   3        2.755205014586169e-40
  46          0x2e        000A   10       9.183549615799121e-40
